triple,truth
Henri-Georges Clouzot directed Manon  film ,1
Ludwig III of Bavaria isMarriedTo Maria Theresa of Austria-Este  1849–1919 ,1
Noboru Iguchi created The Machine Girl,1
François Dupeyron created The Officers' Ward  film ,1
Stephen King isMarriedTo Tabitha King,1
Prince Hassan bin Talal isMarriedTo Princess Sarvath El Hassan,1
Sebastian Arcelus isMarriedTo Stephanie J. Block,1
Rajan Khosa created Dance of the Wind,1
Abel Gance directed Le droit à la vie,1
Robin Williams actedIn Mrs. Doubtfire,1
Augustus III of Poland isMarriedTo Maria Josepha of Austria,1
Antonia Fraser isMarriedTo Harold Pinter,1
Arthur Rankin produced  Jr. The Mad  Mad  Mad Comedians,0
Ilona Szilágyi isMarriedTo Vlad III the Impaler,1
Agrippina the Elder isMarriedTo Germanicus,1
Andrew I of Hungary isMarriedTo Anastasia of Kiev,1
Charles Montague Cooke isMarriedTo Anna Rice Cooke,1
Daniel C. Miller livesIn Harrisburg  Pennsylvania,1
Adam Chandler isMarriedTo Brooke English,1
Una Stubbs isMarriedTo Peter Gilmore,1
Ola Rapace isMarriedTo Noomi Rapace,1
Riazuddin  physicist  worksAt Pakistan Atomic Energy Commission,1
Grand Duchess Olga Alexandrovna of Russia isMarriedTo Nikolai Kulikovsky,1
Charles XV of Sweden isMarriedTo Louise of the Netherlands,1
Emperor Zhao of Han isMarriedTo Grand Empress Dowager Shangguan,1
Quentin Tarantino actedIn From Dusk till Dawn,1
Natalia Rivera Aitoro hasChild Gus Aitoro,1
Artie Lange created Artie Lange's Beer League,1
Abel Gance created Le périscope,1
Rambhai Barni isMarriedTo Prajadhipok,1
Kenneth Branagh created The Magic Flute  2006 film ,1
Warren Beatty actedIn Reds  film ,1
Alex Chandon directed Pervirella,1
Alan Alda directed War of Nerves  M*A*S*H ,1
T. B. Walker isMarriedTo Harriet G. Walker,1
Becky Stark created Califunya,1
Lauren Holly isMarriedTo Jim Carrey,1
Gus Aitoro isMarriedTo Harley Cooper,1
Gertrude of Hohenburg isMarriedTo Rudolph I of Germany,1
Michael Bell  mayor  isLeaderOf Toledo  Ohio,1
Harold Pinter isMarriedTo Antonia Fraser,1
Cliff Robertson created J. W. Coop,1
Norman Mailer created Maidstone  film ,1
Yves Angelo created Colonel Chabert  1994 film ,1
Abel Gance created The Torture of Silence,1
Steven E. de Souza directed Arnold's Wrecking Co.,1
Danielle Spencer  Australian singer  isMarriedTo Russell Crowe,1
Kenneth Branagh directed Peter's Friends,1
Neela Rasgotra isMarriedTo Michael Gallant,1
Warren Beatty directed Bulworth,1
Robert Stevenson  director  isMarriedTo Anna Lee,1
Ferdinand II of Aragon isMarriedTo Germaine of Foix,1
Comoros hasOfficialLanguage Arabic language,1
Martin Lawrence created You So Crazy,1
Prunella Scales isMarriedTo Timothy West,1
Una Stubbs isMarriedTo Nicky Henson,1
Alfonso XII of Spain isMarriedTo Maria Christina of Austria,1
Cliff Robertson isMarriedTo Dina Merrill,1
Éric Rochant created The Patriots  film ,1
Lucas Belvaux directed La Raison du plus faible,1
Gloria Stuart isMarriedTo Arthur Sheekman,1
Jacques Feyder directed Carnival in Flanders  film ,1
Jessica Buchanan isMarriedTo Antonio Vega,1
Lucas Belvaux directed Rapt  2009 film ,1
King Vidor created Bud's Recruit,1
Gus Aitoro hasChild Natalia Rivera Aitoro,0
Carol Jackson hasChild Billie Jackson,1
Leonor Telles de Menezes isMarriedTo Ferdinand I of Portugal,1
Maria Christina of the Two Sicilies isMarriedTo Ferdinand VII of Spain,1
Louise Dresser isMarriedTo Jack Norworth,1
Jean Case isMarriedTo Steve Case,1
Kenneth Branagh directed The Magic Flute  2006 film ,1
Sarah Mlynowski isCitizenOf Canada,1
Jerry Seinfeld actedIn Bee Movie,1
Michael Dowse directed It's All Gone Pete Tong,1
Alan Alda created War of Nerves  M*A*S*H ,1
Rex Harrison isMarriedTo Lilli Palmer,1
Harry Hughes isMarriedTo Patricia Donoho Hughes,1
Peter Gilmore isMarriedTo Una Stubbs,1
Václav Havel isMarriedTo Olga Havlová,1
Raymond Bernard directed Les Misérables  1934 film ,1
Demi Moore isMarriedTo Ashton Kutcher,1
Abel Gance created End of the World  1931 film ,1
Nasser Taghvai created Captain Khorshid,1
John McCarthy  computer scientist  isKnownFor Lisp  programming language ,1
Lucas Belvaux created Rapt  2009 film ,1
Andrew Lane created Jake Speed,1
Michael Gallant isMarriedTo Neela Rasgotra,1
Marshall Brickman directed The Manhattan Project  film ,1
Maria Amalia of Saxony isMarriedTo Charles III of Spain,1
Jill Hennessy actedIn The Acting Class,1
Ali Selim directed Sweet Land,1
Princess Joséphine Caroline of Belgium isMarriedTo Prince Karl Anton of Hohenzollern,1
Anna Rice Cooke hasChild Charles Montague Cooke  Jr.,1
Princess Anne of Denmark isMarriedTo Prince George Valdemar of Denmark,1
Marco Ferreri directed El Cochecito,1
Tamiliam Subas produced Vanni Mouse,1
Abel of Denmark isMarriedTo Matilda of Holstein,1
Emilie Schindler isMarriedTo Oskar Schindler,1
Michael Dowse produced FUBAR  film ,1
Ali Selim produced Sweet Land,1
Alexandra of Denmark isMarriedTo Edward VII of the United Kingdom,1
Frank D. Gilroy produced Desperate Characters,1
Zara Salim Davidson isMarriedTo Raja Nazrin Shah,1
Norodom Sihanouk directed My Village at Sunset,1
Annie Lavery isMarriedTo Ryan Lavery,1
John Wayne isMarriedTo Pilar Pallete,1
Maria Adelaide of Austria isMarriedTo Victor Emmanuel II of Italy,1
Rahul Mahajan  Reality TV Personality  isMarriedTo Dimpy Mahajan,1
Kevin McNally isMarriedTo Phyllis Logan,1
Jessica Buchanan hasChild Nash Brennan,1
Abel Gance directed La Folie du Docteur Tube,1
Sandra Goldbacher directed The Governess,1
Noomi Rapace isMarriedTo Ola Rapace,1
Bert Haanstra produced Alleman  film ,1
David Mamet directed House of Games,1
Maija DiGiorgio created Bitter Jester,1
Ryan Lavery isMarriedTo Annie Lavery,1
Maria Augimeri isMarriedTo Odoardo Di Santo,1
Tabitha King isMarriedTo Stephen King,1
Tonia Marketaki created Crystal Nights,1
Jacques Doillon created Family Life  1985 film ,1
Mitch Laurence isMarriedTo Natalie Buchanan,1
Princess Sophie of Saxony isMarriedTo Duke Karl-Theodor in Bavaria,1
Ferdinand II of the Two Sicilies isMarriedTo Maria Christina of Savoy,1
Rupert Murdoch isMarriedTo Wendi Deng,1
Manny Villar isMarriedTo Cynthia Villar,1
Theodore Roosevelt isMarriedTo Alice Hathaway Lee Roosevelt,1
Henri-Georges Clouzot created The Wages of Fear,1
King Vidor directed Better Times  1919 film ,1
Robert Taylor  actor  isMarriedTo Ursula Thiess,1
Leonid Trauberg directed Simple People,1
Gloria Marsh isMarriedTo Dimitri Marick,1
Jon Hall isMarriedTo Frances Langford,1
Burt Reynolds isMarriedTo Judy Carne,1
Michael Dowse created FUBAR  film ,1
Louis IX of France isMarriedTo Margaret of Provence,1
Alexandra Wentworth isMarriedTo George Stephanopoulos,1
Erica Kane isMarriedTo Jackson Montgomery,1
Cécile de Maron isMarriedTo Leonard von Lahnstein,1
Barbara Rush isMarriedTo Jeffrey Hunter,1
Guangxu Emperor isMarriedTo Empress Dowager Longyu,1
Barack Obama isMarriedTo Michelle Obama,1
Louise of Sweden isMarriedTo Frederick VIII of Denmark,1
Ted Hartley isMarriedTo Dina Merrill,1
Leonid Trauberg created The Youth of Maxim,1
Prince Franz of Bavaria isMarriedTo Princess Isabella Antonie of Croÿ,1
Robert Kardashian isMarriedTo Kris Jenner,1
Marco Ferreri created The Ape Woman,1
Abel Gance created J'accuse!  1938 film ,1
Erica Kane isMarriedTo Dimitri Marick,1
Mercedes of Orléans isMarriedTo Alfonso XII of Spain,1
Kevin Munroe created Teenage Mutant Ninja Turtles  film series ,1
Queen Sonja of Norway isMarriedTo Harald V of Norway,1
Paul Auster created Blue in the Face,1
Claire Bloom isMarriedTo Rod Steiger,1
Francis I of the Two Sicilies isMarriedTo Archduchess Maria Clementina of Austria,1
Princess Isabella Antonie of Croÿ isMarriedTo Prince Franz of Bavaria,1
Neela Rasgotra isMarriedTo Tony Gates,1
Arthur Miller isMarriedTo Marilyn Monroe,1
Dorian Lord isMarriedTo David Vickers,1
Mary Lee Woods isMarriedTo Conway Berners-Lee,1
Donald Knuth isKnownFor The Art of Computer Programming,1
Princess Beatrice of the United Kingdom isMarriedTo Prince Henry of Battenberg,1
Abdullah I of Jordan isMarriedTo Musbah bint Nasser,1
Sheldon Reynolds  producer  created Killer's Carnival,1
Vera Nabokov isMarriedTo Vladimir Nabokov,1
Eddie Griffin actedIn Dysfunktional Family,1
William IV of the United Kingdom isMarriedTo Adelaide of Saxe-Meiningen,1
Emilio Fernández directed Río Escondido  1948 film ,1
Frank Buck  animal collector  isMarriedTo Amy Leslie,1
Alex Chandon actedIn Chainsaw Scumfuck,1
Guy Ritchie created The Hire,1
Saeed Akhtar Mirza created Arvind Desai Ki Ajeeb Dastaan,1
Leonid Trauberg directed Alone  1931 film ,1
Warren Beatty produced Dick Tracy  1990 film ,1
Abel Gance created The Ironmaster,1
Jaya Bachchan isMarriedTo Amitabh Bachchan,1
Chris Rock actedIn I Think I Love My Wife,1
Vilsoni Hereniko directed The Land Has Eyes,1
Masud Ahmad hasAcademicAdvisor Riazuddin  physicist ,1
Joe McStravick directed Murphy 771,1
Warren Beatty produced Reds  film ,1
Isabel Coixet created My Life Without Me,1
Henri-Georges Clouzot directed La Vérité  film ,1
Parris Glendening isMarriedTo Frances Hughes Glendening,1
Sigismund III Vasa isMarriedTo Constance of Austria,1
Paul Spence actedIn FUBAR 2  film ,1
Cliff Robertson directed J. W. Coop,1
Farida of Egypt isMarriedTo Farouk of Egypt,1
Kris Jenner isMarriedTo Bruce Jenner,1
Louise of Hesse-Kassel isMarriedTo Christian IX of Denmark,1
Olu Jacobs isMarriedTo Joke Silva,1
Ward Kimball produced Man in Space,1
Gabrielle Giffords isMarriedTo Mark E. Kelly,1
King Vidor directed Three Wise Fools  1923 film ,1
Frederick Kagan isMarriedTo Kimberly Kagan,1
Maurice Cloche created La Portatrice di pane  1950 film ,1
Giuseppe Colizzi created All the Way  Boys,1
Maria Theresa of Austria-Este  1849–1919  isMarriedTo Ludwig III of Bavaria,1
Warren Beatty produced Love Affair  1994 film ,1
Charles Emmanuel III of Sardinia isMarriedTo Countess Palatine Anne Christine of Sulzbach,1
Isabella of Angoulême isMarriedTo John of England,1
Rod Lurie created The Contender  2000 film ,1
Becky Stark directed Califunya,1
Beadie Russell isMarriedTo Jimmy McNulty,1
Sancho I of Portugal isMarriedTo Dulce of Aragon,1
Ferdinand VII of Spain isMarriedTo Maria Josepha of Saxony,1
King Vidor directed His Hour,1
Elizabeth the Cuman isMarriedTo Stephen V of Hungary,1
Norma Shearer isMarriedTo Irving Thalberg,1
Norman Mailer produced Maidstone  film ,1
R. Kannan created Jayamkondaan,0
Warren Beatty isMarriedTo Annette Bening,1
René of Anjou isMarriedTo Jeanne de Laval,1
Victor Salva created Clownhouse,1
Emily McLaughlin isMarriedTo Jeffrey Hunter,1
Masud Ahmad livesIn Islamabad Capital Territory,1
Esperanza Baur isMarriedTo John Wayne,1
Hank Gannon isMarriedTo Nora Hanen,1
Emilio Fernández created Siempre tuya,1
Giuseppe Colizzi directed All the Way  Boys,1
Adam Cheng isMarriedTo Lydia Shum,1
Alex Chandon created Bad Karma  1991 film ,1
Prince Feodor Alexandrovich of Russia isMarriedTo Irina Pavlovna Paley,1
Prince Axel of Denmark isMarriedTo Princess Margaretha of Sweden,1
Madonna  entertainer  produced I'm Going to Tell You a Secret,1
Kay Kendall isMarriedTo Rex Harrison,1
Świętosława of Poland isMarriedTo Vratislaus II of Bohemia,1
Robin Williams produced Mrs. Doubtfire,1
Bert Haanstra created Mirror of Holland,1
Jimmy McNulty isMarriedTo Beadie Russell,1
Cynthia Villar isMarriedTo Manny Villar,1
Vajiravudh isMarriedTo Suvadhana,1
Yılmaz Güney created Zavallılar,1
Christian IX of Denmark isMarriedTo Louise of Hesse-Kassel,1
Noboru Iguchi created Oira Sukeban,1
Rodney Dangerfield produced Rover Dangerfield,1
David E. Durston created I Drink Your Blood,1
Princess Firyal of Jordan isMarriedTo Prince Muhammad bin Talal,1
Princess Léa of Belgium isMarriedTo Prince Alexander of Belgium,1
Princess Helena of the United Kingdom isMarriedTo Prince Christian of Schleswig-Holstein,1
Annette Bening isMarriedTo Warren Beatty,1
Maximilian I of Mexico isMarriedTo Charlotte of Belgium,1
Paul Spence produced FUBAR 2  film ,1
Marissa Tasker isMarriedTo JR Chandler,1
Grand Duke Michael Alexandrovich of Russia isMarriedTo Natalia Brasova,1
Jamil Dehlavi created The Blood of Hussain,1
Siva Selliah livesIn Colombo,1
Warren Beatty created Reds  film ,1
Françoise Rosay isMarriedTo Jacques Feyder,1
Edward VII of the United Kingdom isMarriedTo Alexandra of Denmark,1
Jennifer Rappaport hasChild Joey Buchanan,1
Abel Gance created Barberousse,1
Saeed Akhtar Mirza created Salim Langde Pe Mat Ro,1
Henri-Georges Clouzot created Manon  film ,1
Lilli Palmer isMarriedTo Carlos Thompson,1
Demi Moore isMarriedTo Bruce Willis,1
Patricia Wettig isMarriedTo Ken Olin,1
Peter IV of Aragon isMarriedTo Eleanor of Sicily,1
Alexandre Astruc created The Crimson Curtain,1
Miguel Lopez-Fitzgerald isMarriedTo Kay Bennett,1
Jorge Lanata directed Deuda,1
Jacques Feyder created Carnival in Flanders  film ,1
Judith of Habsburg isMarriedTo Wenceslaus II of Bohemia,1
Grand Duke Alexander Mikhailovich of Russia isMarriedTo Grand Duchess Xenia Alexandrovna of Russia,1
Archduke Charles Stephen of Austria isMarriedTo Archduchess Maria Theresa of Austria  1862–1933 ,1
Tina Lord isMarriedTo Cord Roberts,1
Luis Bayón Herrera created Buenos Aires a la vista,1
Marie José of Belgium isMarriedTo Umberto II of Italy,1
Raquel Torres isMarriedTo Jon Hall,1
Hortense de Beauharnais isMarriedTo Louis Bonaparte,1
Sean Penn isMarriedTo Robin Wright Penn,1
Serge Gainsbourg directed Je t'aime... moi non plus  film ,1
Emilio Fernández created Maclovia  1948 film ,1
King Vidor directed The Turn in the Road,1
Phillip Spaulding hasChild Harley Cooper,1
Michael Tolkin created The Rapture  film ,1
Gustav IV Adolf of Sweden isMarriedTo Frederica of Baden,1
Empress Dowager Longyu isMarriedTo Guangxu Emperor,1
Tad Martin isMarriedTo Brooke English,1
Archduke Gottfried of Austria isMarriedTo Princess Dorothea of Bavaria,1
Jean-Pierre Mocky created Un drôle de paroissien,1
Harry Towb isMarriedTo Diana Hoddinott,1
Jacques Doillon directed La Vengeance d'une femme,1
Warren Beatty actedIn Dick Tracy  1990 film ,1
Agrippina the Younger isMarriedTo Claudius,1
Yang Jiang isMarriedTo Qian Zhongshu,1
Alex Chandon created Chainsaw Scumfuck,1
Jacques Feyder directed L'Atlantide  1921 film ,1
Nash Brennan isMarriedTo Jessica Buchanan,1
Prajadhipok isMarriedTo Rambhai Barni,1
Jacques Doillon created Ponette,1
Victor Salva produced Clownhouse,1
Tony Gates isMarriedTo Neela Rasgotra,1
Stephanie J. Block isMarriedTo Sebastian Arcelus,1
Donald Knuth created The Art of Computer Programming,1
Irina Pavlovna Paley isMarriedTo Prince Feodor Alexandrovich of Russia,1
Margaret of Provence isMarriedTo Louis IX of France,1
Raja Nazrin Shah isMarriedTo Zara Salim Davidson,1
Quentin Tarantino created My Best Friend's Birthday,1
Yılmaz Güney produced Yol,1
Donald Knuth isKnownFor TeX,1
Emilio Estevez produced The War at Home  film ,1
Jon Cypher isMarriedTo Carol Rosin,1
Phillip Spaulding isMarriedTo Olivia Spencer,1
Cord Roberts isMarriedTo Tina Lord,1
Jeanne de Laval isMarriedTo René of Anjou,1
Alan Rudolph created Love at Large,1
Noboru Iguchi directed Oira Sukeban,1
Iain Softley created Backbeat  film ,1
Nasser Taghvai created Tales of Kish,1
Steven E. de Souza directed Possessed  2000 film ,1
Vratislaus II of Bohemia isMarriedTo Świętosława of Poland,1
Sam Marx isMarriedTo Minnie Marx,1
Angela Pan isMarriedTo Chan Hung-lit,1
Olivia Spencer isMarriedTo Phillip Spaulding,1
Princess Helena Adelaide of Schleswig-Holstein-Sonderburg-Glücksburg isMarriedTo Prince Harald of Denmark,1
Jaime Camino created Spain Again,1
Trip Hawkins created Electronic Arts,1
Turai Yar'Adua isMarriedTo Umaru Yar'Adua,1
Eleanor of Alburquerque isMarriedTo Ferdinand I of Aragon,1
Amarindra isMarriedTo Buddha Yodfa Chulaloke,1
Noah Bennett isMarriedTo Paloma Lopez-Fitzgerald,1
Alex Chandon directed Drillbit  film ,1
Juan Carlos I of Spain isMarriedTo Queen Sofía of Spain,1
Marguerite Snow isMarriedTo James Cruze,1
Peter Guinness  actor  isMarriedTo Roberta Taylor,1
Abel Gance created Les Gaz mortels,1
Fox Crane isMarriedTo Kay Bennett,1
Jacques Feyder directed Faces of Children,1
Rick Rubin created Tougher Than Leather  film ,1
Queen Paola of Belgium isMarriedTo Albert II of Belgium,1
Gwyneth Strong isMarriedTo Jesse Birdsall,1
Al Pacino actedIn Looking for Richard,1
Alan Rudolph created Welcome to L.A.,1
Maurice Cloche directed La Portatrice di pane  1950 film ,1
Kenneth Branagh actedIn Henry V  1989 film ,1
Ann Sothern isMarriedTo Robert Sterling,1
Arthur Sheekman isMarriedTo Gloria Stuart,1
Ray Barnett isMarriedTo Neela Rasgotra,1
Frank D. Gilroy directed Desperate Characters,1
Jacques Doillon created The Hussy,1
Witold Leszczyński directed Matthew's Days,1
Vic Morrow directed A Man Called Sledge,1
Pilar Pallete isMarriedTo John Wayne,1
Marco Ferreri created Liza  film ,1
John II of Aragon isMarriedTo Juana Enríquez,1
Maria von Trapp isMarriedTo Georg Ludwig von Trapp,1
Emilio Fernández produced La Choca,1
Kamal Haasan actedIn Thevar Magan,1
Kathleen Merrell White isMarriedTo Arthur Kent White,1
Dave McKean created MirrorMask,1
Marco Ferreri created The Conjugal Bed,1
Prince Alexander of Saxe-Gessaphe isMarriedTo Princess Gisela of Bavaria,1
Mileva Marić isMarriedTo Albert Einstein,1
George Stephanopoulos isMarriedTo Alexandra Wentworth,1
Joséphine de Beauharnais isMarriedTo Napoleon I,1
Sandra Goldbacher directed Me Without You  film ,1
Judy Dickinson isMarriedTo Gardner Dickinson,1
Felix Yusupov isMarriedTo Princess Irina Alexandrovna of Russia,1
Ludwig I of Bavaria isMarriedTo Therese of Saxe-Hildburghausen,1
Al Pacino directed Looking for Richard,1
Dominique Deruddere directed Everybody's Famous!,1
Erin Hershey Presley isMarriedTo Brian Presley,1
Theresa Lopez-Fitzgerald Crane isMarriedTo Ethan Winthrop,1
Caroline Bonaparte isMarriedTo Joachim Murat,1
Bruce Jenner isMarriedTo Kris Jenner,1
Rex Balsom isMarriedTo Adriana Cramer,1
Olivia Winters isMarriedTo Nathan Hastings,1
Luis Bayón Herrera directed Buenos Aires a la vista,1
Sunandha Kumariratana isMarriedTo Chulalongkorn,1
Chulalongkorn isMarriedTo Sunandha Kumariratana,1
Anna Lee isMarriedTo Robert Nathan,1
Yılmaz Güney created Yol,1
Joanna of Castile isMarriedTo Philip I of Castile,1
Zofia Czartoryska isMarriedTo Stanisław Kostka Zamoyski,1
Maria of Navarre isMarriedTo Peter IV of Aragon,1
Kevin Munroe directed Teenage Mutant Ninja Turtles  film series ,1
Emeric of Hungary isMarriedTo Constance of Aragon,1
Charles Ingalls isMarriedTo Caroline Ingalls,1
Dominique Deruddere produced Everybody's Famous!,1
Michael Dowse created It's All Gone Pete Tong,1
Viacheslava of Novgorod isMarriedTo Bolesław IV the Curly,1
Isabel Coixet directed My Life Without Me,1
Frederica of Baden isMarriedTo Gustav IV Adolf of Sweden,1
Jeffrey Hunter isMarriedTo Emily McLaughlin,1
Bert Haanstra created Alleman  film ,1
Arthur Rankin directed  Jr. The Hobbit  1977 film ,1
Princess Irina Alexandrovna of Russia isMarriedTo Felix Yusupov,1
Rod Lurie directed The Contender  2000 film ,1
Mieszko III the Old isMarriedTo Elisabeth of Hungary  1128–1154 ,1
Princess Mikasa isMarriedTo Prince Mikasa,1
Jim Elliot isMarriedTo Elisabeth Elliot,1
Patricia Donoho Hughes isMarriedTo Harry Hughes,1
Denis Héroux directed Naked Massacre,1
Anastasia of Russia isMarriedTo Ivan IV of Russia,1
King Vidor created Poor Relations,1
Robin Wright Penn isMarriedTo Sean Penn,1
Kenneth Branagh actedIn Peter's Friends,1
Giovanna of Italy isMarriedTo Boris III of Bulgaria,1
Brooke English isMarriedTo Tad Martin,1
June Diane Raphael isMarriedTo Paul Scheer,1
Marisa Ryan isMarriedTo Jeremy Sisto,1
Musbah bint Nasser isMarriedTo Abdullah I of Jordan,1
Clint Buchanan isMarriedTo Lindsay Rappaport,1
Ward Kimball created Man in Space,1
Ferdinand I of the Two Sicilies isMarriedTo Maria Carolina of Austria,1
Chulalongkorn isMarriedTo Savang Vadhana,1
Madonna  entertainer  actedIn I'm Going to Tell You a Secret,1
Julia the Elder isMarriedTo Tiberius,1
Mavis Leno isMarriedTo Jay Leno,1
Warren Beatty actedIn Heaven Can Wait  1978 film ,1
Michael Dowse created FUBAR 2  film ,1
Peter IV of Aragon isMarriedTo Sibila of Fortia,1
Kris Jenner isMarriedTo Robert Kardashian,1
Adam Chandler hasChild Gloria Marsh,1
Riazuddin  physicist  livesIn Islamabad Capital Territory,1
Bert Haanstra directed Alleman  film ,1
Marco Ferreri directed I Love You  1986 film ,1
Prince Joachim of Denmark isMarriedTo Princess Marie of Denmark,1
Jacques Feyder created Le Grand Jeu  1934 film ,1
Cleve Moler created MATLAB,1
Marty Feldman created In God We Tru$t,1
Marco Ferreri created Break Up  film ,1
Anne of Kiev isMarriedTo Henry I of France,1
Leonid Trauberg created Alone  1931 film ,1
Charles Napoléon isMarriedTo Princess Béatrice of Bourbon-Two Sicilies,1
Bibi Gaytán isMarriedTo Eduardo Capetillo,1
Quentin Tarantino created From Dusk till Dawn,1
King Vidor directed Poor Relations,1
Ferdinand I of Portugal isMarriedTo Leonor Telles de Menezes,1
Rudolph I of Germany isMarriedTo Isabella of Burgundy  1270–1323 ,1
Lady Elizabeth Mortimer isMarriedTo Henry Hotspur Percy,1
Buddha Yodfa Chulaloke isMarriedTo Amarindra,1
Maurice Cloche created Born of Unknown Father,1
Prince Tomohito of Mikasa isMarriedTo Princess Tomohito of Mikasa,1
Victor Emmanuel II of Italy isMarriedTo Maria Adelaide of Austria,1
Frederick William III of Prussia isMarriedTo Louise of Mecklenburg-Strelitz,1
King Vidor created Three Wise Fools  1923 film ,1
Lynn Bari isMarriedTo Sidney Luft,1
Leander Haußmann directed Sonnenallee,1
Christine Rodd isMarriedTo Allan Steiger,1
Bertha of Holland isMarriedTo Philip I of France,1
Saeed Akhtar Mirza produced Albert Pinto Ko Gussa Kyon Aata Hai,1
Jill Hennessy created The Acting Class,1
Betty Compson isMarriedTo James Cruze,1
Carol Jackson hasChild Sonia Fowler,1
Princess Margaret of Denmark isMarriedTo Prince René of Bourbon-Parma,1
Gerry Anderson isMarriedTo Sylvia Anderson,1
Lucien Hubbard created Rose-Marie  1928 film ,1
Serge Gainsbourg created Je t'aime... moi non plus  film ,1
Carol Rosin isMarriedTo Jon Cypher,1
Tage Danielsson created The Adventures of Picasso,1
Andrew Lane directed Jake Speed,1
Prince Mikasa isMarriedTo Princess Mikasa,1
Kevin Munroe created TMNT  film ,1
Yılmaz Güney directed Zavallılar,1
King Vidor created The Turn in the Road,1
Kenneth Branagh actedIn Love's Labour's Lost  2000 film ,1
Nelson George directed Life Support  film ,1
Grand Duchess Xenia Alexandrovna of Russia isMarriedTo Grand Duke Alexander Mikhailovich of Russia,1
